Data,Market Index,,,,,,,,,,
Period,Monthly since Apr-1975 to present,,,,,,,,,,
Unit,Point,,,,,,,,,,
Month-Year,SET,SET501/,SET50FF2/,SET1003/,SET100FF4/,sSET5/,SETCLMV6/,SETHD7/,SETESG8/,SETWB9/,mai10/
Base,2518 (1975)/4/30 = 100,2538 (1995)/8/16 = 1000,2566 (2023)/12/28 = 875.25,2545 (2005)/4/30 = 1000,2566 (2023)/12/28 = 1938.83,2559 (2016)/12/30 = 1000,2561 (2018)/06/29 = 1000,2554 (2011)/6/30 = 1000,2561 (2018)/06/29 = 1000,2562 (2019)/03/29 = 1000,2545 (2002)/9/2 = 100
Apr-2025,"1,197.26",775.79,761.21,"1,662.07","1,635.12",612.59,611.81,"1,078.85",759.3,648.27,251.03
Mar-2025,"1,158.09",739.77,740.95,"1,592.85","1,598.78",607.55,601.57,"1,110.00",736.83,628.19,243.24
Feb-2025,"1,203.72",766.7,763.87,"1,659.98","1,658.70",634.02,626.01,"1,096.58",760.36,702.93,255.95
Jan-2025,"1,314.50",856.4,821.97,"1,839.31","1,775.76",664.3,670.97,"1,157.06",819.55,701.95,278.98
Dec-2024,"1,400.21",906.23,857.06,"1,959.79","1,866.28",740.15,729.38,"1,158.25",863.1,767.48,311.82
Nov-2024,"1,427.54",918.45,870.86,"1,985.74","1,894.84",774.17,753.89,"1,161.88",880.35,792.75,320.69
Oct-2024,"1,466.04",936.69,892.47,"2,036.82","1,954.08",832.13,799.76,"1,189.09",912.32,830.02,340.47
Sep-2024,"1,448.83",914.07,892.11,"1,999.21","1,959.76",856.9,824.06,"1,204.01",928.78,844.41,354.42
Aug-2024,"1,359.07",857.38,838.84,"1,867.90","1,833.30",798.75,764.49,"1,136.19",859.91,794.51,327.47
Jul-2024,"1,320.86",831.91,813.56,"1,812.24","1,776.40",774.25,771.62,"1,089.66",839.15,788.93,329.63
Jun-2024,"1,300.96",806.1,797.37,"1,771.84","1,754.58",820.77,786.63,"1,069.00",832.35,786.18,355.45
May-2024,"1,345.66",825.96,820.55,"1,826.69","1,814.98",862.09,816.84,"1,100.51",870.43,815.9,379.92
Apr-2024,"1,367.95",837.97,838.18,"1,856.35","1,856.13",876,825.66,"1,081.69",890.29,834.14,395.27
Mar-2024,"1,377.94",844.41,840.9,"1,870.80","1,864.94",893.01,819.2,"1,083.35",895.66,815.52,411.72
Feb-2024,"1,370.67",836.19,837.52,"1,853.39","1,856.83",886.42,820.32,"1,084.06",893.02,816.14,414.9
Jan-2024,"1,364.52",834.02,829.53,"1,849.02","1,841.57",869.32,823.89,"1,103.02",885.79,794.95,406.5
Dec-2023,"1,415.85",875.25,,"1,938.83",,873.6,857.16,"1,124.62",926.76,838.62,411.61
Nov-2023,"1,380.18",852.94,,"1,888.94",,845.81,846.86,"1,091.19",902.61,814.94,394.21
Oct-2023,"1,381.83",856.53,,"1,895.93",,833.56,826.15,"1,095.27",900.35,833.73,392.56
Sep-2023,"1,471.43",899.28,,"2,006.06",,922.18,872.33,"1,143.04",948.57,890.69,450.53
Aug-2023,"1,565.94",957.21,,"2,133.59",,988.29,918.36,"1,159.84","1,007.64",934.02,493.68
Jul-2023,"1,556.06",966.18,,"2,134.63",,947.58,895.65,"1,179.60","1,014.72",910.93,466.71
Jun-2023,"1,503.10",919.28,,"2,039.87",,931.24,864.21,"1,138.25",973.22,902.73,459.78
May-2023,"1,533.54",924.65,,"2,059.87",,995.87,864.7,"1,129.18",979.24,933.29,489.75
Apr-2023,"1,529.12",922.72,,"2,059.63",,975.99,908.51,"1,142.51",987.41,962.18,501.99
Mar-2023,"1,609.17",974.26,,"2,177.85",,"1,036.35",948.9,"1,148.07","1,028.58",985.2,538.1
Feb-2023,"1,622.35",965.56,,"2,173.13",,"1,077.75",968.43,"1,167.28","1,028.44",999.34,565.69
Jan-2023,"1,671.46",992.95,,"2,240.18",,"1,109.69","1,007.75","1,197.52","1,057.90","1,025.00",603.98
Dec-2022,"1,668.66","1,005.24",,"2,257.94",,"1,065.03","1,010.73","1,200.02","1,063.95","1,037.64",584.16
Nov-2022,"1,635.36",993.78,,"2,233.03",,"1,056.09","1,001.07","1,184.87","1,049.42","1,015.09",577.38
Oct-2022,"1,608.76",979.45,,"2,199.97",,"1,049.33",977.92,"1,170.19","1,027.56",998.52,645.93
