series_code,series_name,quarter,value
PFCG000000M000651,Total Government Expenditure,2011Q1,565289.096977504
PFCG000000M000651,Total Government Expenditure,2011Q2,518684.956950168
PFCG000000M000651,Total Government Expenditure,2011Q3,531834.031657444
PFCG000000M000651,Total Government Expenditure,2011Q4,369265.334451236
PFCG000000M000651,Total Government Expenditure,2012Q1,767150.089858863
PFCG000000M000651,Total Government Expenditure,2012Q2,578110.621958179
PFCG000000M000651,Total Government Expenditure,2012Q3,608378.619736409
PFCG000000M000651,Total Government Expenditure,2012Q4,589554.019333465
PFCG000000M000651,Total Government Expenditure,2013Q1,598248.777959703
PFCG000000M000651,Total Government Expenditure,2013Q2,607829.505781304
PFCG000000M000651,Total Government Expenditure,2013Q3,604055.36226993
PFCG000000M000651,Total Government Expenditure,2013Q4,619059.8462502
PFCG000000M000651,Total Government Expenditure,2014Q1,615907.21738444
PFCG000000M000651,Total Government Expenditure,2014Q2,604229.899877593
PFCG000000M000651,Total Government Expenditure,2014Q3,610580.9748806551
PFCG000000M000651,Total Government Expenditure,2014Q4,583786.189612908
PFCG000000M000651,Total Government Expenditure,2015Q1,627371.055404477
PFCG000000M000651,Total Government Expenditure,2015Q2,635103.7234896501
PFCG000000M000651,Total Government Expenditure,2015Q3,643680.040897024
PFCG000000M000651,Total Government Expenditure,2015Q4,640586.611536951
PFCG000000M000651,Total Government Expenditure,2016Q1,687588.328371063
PFCG000000M000651,Total Government Expenditure,2016Q2,726079.829083235
PFCG000000M000651,Total Government Expenditure,2016Q3,638674.0290495469
PFCG000000M000651,Total Government Expenditure,2016Q4,673157.17969177
PFCG000000M000651,Total Government Expenditure,2017Q1,677506.6518689641
PFCG000000M000651,Total Government Expenditure,2017Q2,714742.548858182
PFCG000000M000651,Total Government Expenditure,2017Q3,692281.655675881
PFCG000000M000651,Total Government Expenditure,2017Q4,715625.517988699
PFCG000000M000651,Total Government Expenditure,2018Q1,643607.901607533
PFCG000000M000651,Total Government Expenditure,2018Q2,796689.182171033
PFCG000000M000651,Total Government Expenditure,2018Q3,707043.761204455
PFCG000000M000651,Total Government Expenditure,2018Q4,712267.330461871
PFCG000000M000651,Total Government Expenditure,2019Q1,767195.611692209
PFCG000000M000651,Total Government Expenditure,2019Q2,691033.910660406
PFCG000000M000651,Total Government Expenditure,2019Q3,760506.154145143
PFCG000000M000651,Total Government Expenditure,2019Q4,621499.672881818
EIBSIM00060,Business Sentiment Index of Investment,2011Q1,57.37323899589567
EIBSIM00060,Business Sentiment Index of Investment,2011Q2,56.873311129007
EIBSIM00060,Business Sentiment Index of Investment,2011Q3,56.37003496377607
EIBSIM00060,Business Sentiment Index of Investment,2011Q4,51.07566971524329
EIBSIM00060,Business Sentiment Index of Investment,2012Q1,56.52532114384601
EIBSIM00060,Business Sentiment Index of Investment,2012Q2,57.27428584700096
EIBSIM00060,Business Sentiment Index of Investment,2012Q3,57.351073924683966
EIBSIM00060,Business Sentiment Index of Investment,2012Q4,57.476636866219394
EIBSIM00060,Business Sentiment Index of Investment,2013Q1,57.23239066750603
EIBSIM00060,Business Sentiment Index of Investment,2013Q2,56.564974416606425
EIBSIM00060,Business Sentiment Index of Investment,2013Q3,55.33523520821863
EIBSIM00060,Business Sentiment Index of Investment,2013Q4,53.9889885067731
EIBSIM00060,Business Sentiment Index of Investment,2014Q1,52.0533397651074
EIBSIM00060,Business Sentiment Index of Investment,2014Q2,51.7158940933415
EIBSIM00060,Business Sentiment Index of Investment,2014Q3,53.64390250709147
EIBSIM00060,Business Sentiment Index of Investment,2014Q4,53.70400735270883
EIBSIM00060,Business Sentiment Index of Investment,2015Q1,53.89403906379193
EIBSIM00060,Business Sentiment Index of Investment,2015Q2,54.12383291433377
EIBSIM00060,Business Sentiment Index of Investment,2015Q3,52.2838582490486
EIBSIM00060,Business Sentiment Index of Investment,2015Q4,53.674397868095504
EIBSIM00060,Business Sentiment Index of Investment,2016Q1,54.01349552670427
EIBSIM00060,Business Sentiment Index of Investment,2016Q2,55.59417317141297
EIBSIM00060,Business Sentiment Index of Investment,2016Q3,55.9943418622834
EIBSIM00060,Business Sentiment Index of Investment,2016Q4,56.6791692898263
EIBSIM00060,Business Sentiment Index of Investment,2017Q1,56.59172365279787
EIBSIM00060,Business Sentiment Index of Investment,2017Q2,55.79877490364883
EIBSIM00060,Business Sentiment Index of Investment,2017Q3,55.1067223629371
EIBSIM00060,Business Sentiment Index of Investment,2017Q4,55.92577065444056
EIBSIM00060,Business Sentiment Index of Investment,2018Q1,57.221222861009664
EIBSIM00060,Business Sentiment Index of Investment,2018Q2,56.62830043230736
EIBSIM00060,Business Sentiment Index of Investment,2018Q3,56.57093144133927
EIBSIM00060,Business Sentiment Index of Investment,2018Q4,57.04827846176067
EIBSIM00060,Business Sentiment Index of Investment,2019Q1,55.63108066656
