quarter,gdp_growth,AR(1),DFM,Factor-MIDAS,SVR,kNN,Ridge,LASSO,RF,XGBoost,LightGBM,ERNN-MF,GRU-MF,LSTM-MF,ERNN-SF,GRU-SF,LSTM-SF
2011Q1,3.3,,,3.159804221,2.476677267,3.014285714,3.896192665,4.537907881,3.81206532,3.7280943,3.537806204,,,,,,
2011Q2,1.8,3.274612042,,2.369284035,2.576864331,3.171428571,2.711376446,4.308707808,2.533236156,3.3229384,2.960448933,1.0626339,3.5385382,2.2810357,12.9754715,5.4949784,6.3247356
2011Q3,2.4,2.722470794,,2.593867188,2.957885824,2.857142857,2.939297356,3.987210736,2.776578794,3.8035038,2.933365804,0.3395362,2.9571872,1.9652709,9.841981,5.8068585,6.329689
2011Q4,-4,2.943327293,3.913838604,0.8416125289,1.728356167,3.542857143,0.2680834289,0.396093829,0.3461384029,1.6118027,2.511476295,0.642582,4.1749015,3.3233738,10.568867,3.782606,5.520053
2012Q1,2.9,0.5875246347,1.91175,5.065055323,3.317115526,3.128571429,3.445201373,3.972565804,2.793167615,3.5764167,2.933365804,-0.20363471,0.8527837,-1.9179829,9.7612,1.1900539,10.561461
2012Q2,6,3.127374376,3.228588698,3.279783172,3.676289666,4.542857143,4.810067863,4.578326071,6.442599475,5.2234964,4.942078519,2.2922058,4.8259244,2.8489208,14.134197,6.115813,5.1241136
2012Q3,5,4.268466288,6.905983437,2.992825382,3.332702236,4.557142857,4.369744171,4.658704716,8.327300708,5.0775023,4.942078519,1.2722837,5.3447413,4.095389,11.915537,4.368906,5.5837502
2012Q4,15.5,3.900372123,4.898549418,3.053570477,2.881583952,5.528571429,4.856718689,4.778842299,8.565366623,4.1898723,4.942078519,1.5585198,5.698802,4.588647,10.237788,5.0227532,5.806612
2013Q1,5.4,7.765360859,6.91905077,4.488812082,3.921303133,4.585714286,4.62635882,4.50382437,4.459450275,5.0775023,4.719817854,1.4921489,6.024918,4.63284,11.868711,3.6258063,6.257267
2013Q2,2.7,4.047609789,4.61819025,2.89536896,2.310641551,3.942857143,3.520154255,4.072834107,2.829154135,4.0456114,3.305553002,3.134142,7.0923085,4.1423645,10.53133,3.7364757,5.3590813
2013Q3,2.5,3.053755542,3.208531574,2.153789312,2.336088617,2.028571429,3.029166788,3.277303874,2.944066308,2.1819377,2.933365804,1.51015,6.000203,3.6851687,8.324396,3.6491382,7.9280314
