quarter,gdp_growth,AR(1),DFM,Factor-MIDAS,SVR,kNN,Ridge,LASSO,RF,XGBoost,LightGBM,ERNN-MF,GRU-MF,LSTM-MF,ERNN-SF,GRU-SF,LSTM-SF
2011Q1,3.3,,,3.159804221,2.415244741,3.3,3.399137233,4.612827342,7.064868742,3.0602305,3.274285854,,,,,,
2011Q2,1.8,3.274612042,,2.369284035,2.380360548,1.8,2.809438397,4.277880755,2.260204518,2.2369127,3.274285854,1.0626339,3.5385382,2.2810357,11.48492,2.871749,3.0868082
2011Q3,2.4,2.722470794,2.539023771,2.593867188,2.65227787,2.4,3.119894481,3.940690843,2.421532357,3.0659084,3.274285854,0.3395362,2.9571872,1.9652709,9.76404,2.2877734,2.9059813
2011Q4,-4,2.943327293,3.083684092,0.8416125289,1.822675694,-4,1.304397044,0.3935199721,0.3300579976,-0.0032540709,3.274285854,0.642582,4.1749015,3.3233738,12.118999,1.0829291,2.3984642
2012Q1,2.9,0.5875246347,0.09525184312,5.065055323,3.257284143,2.9,3.602532529,4.044731005,3.150233516,3.1224031,3.274285854,-0.20363471,0.8527837,-1.9179829,3.0549636,3.1148489,3.5551822
2012Q2,6,3.127374376,3.409326224,3.279783172,3.292992459,6,4.080457357,4.546529738,5.698995726,4.312459,3.274285854,2.2922058,4.8259244,2.8489208,12.846844,4.334926,4.3445363
2012Q3,5,4.268466288,4.403579155,2.992825382,3.0524958,5,3.734592936,4.59797697,6.685726496,4.2991962,3.274285854,1.2722837,5.3447413,4.095389,12.131664,5.377348,5.9841285
2012Q4,15.5,3.900372123,4.018342226,3.053570477,2.912294305,15.5,4.055644781,4.682102863,8.280854701,8.545594,3.274285854,1.5585198,5.698802,4.588647,11.27011,5.5981016,5.8719745
2013Q1,5.4,7.765360859,7.201375388,4.488812082,3.472903649,5.4,3.962843175,4.518460394,5.479571123,4.0044727,3.274285854,1.4921489,6.024918,4.63284,11.091297,4.753259,4.8581696
2013Q2,2.7,4.047609789,4.422335454,2.89536896,2.262499931,2.7,3.266644036,4.071298294,2.740879121,2.7345045,3.274285854,3.134142,7.0923085,4.1423645,12.205694,5.2520075,6.0719595
2013Q3,2.5,3.053755542,2.908377835,2.153789312,2.250610148,2.5,3.001453975,3.247385531,2.753220391,2.5802295,3.274285854,1.51015,6.000203,3.6851687,10.409612,2.5896866,3.2756107
2013Q4,0.2,2.980136709,2.762756141,2.063711079,2.147504252,0.2,2.772159912,2.345413933,1.925578449,2.650565,3.274285854,1.0791564,5.1304817,2.9829428,9.560496,3.1009874,3.8421512
2014Q1,-0.4,2.133520129,1.949566229,2.582312534,2.012089351,-0.4,2.139122277,1.048548962,-0.002707570208,1.5289615,3.274285854,1.1165339,4.9455256,2.4954312,9.587176,1.7094676,2.4929109
2014Q2,0.8,1.91266363,1.703759196,1.909186851,2.37141178,0.8,2.624470145,0.8224637941,0.1139484127,2.1272054,3.274285854,1.1956248,4.389145,1.6294764,8.213996,1.5062261,2.4988692
2014Q3,1.1,2.354376628,2.334561229,3.208671837,2.860906071,1.1,3.162550481,2.114209823,1.852446581,2.7801993,3.274285854,0.8156584,4.629956,1.4287395,9.426523,3.1247458,4.055474
2014Q4,2.4,2.464804878,2.758951051,2.672148674,2.512403132,2.4,3.085476096,2.154479458,2.566269841,2.9497054,3.274285854,1.8792377,5.5384045,2.0607944,11.76891,2.8531175,3.8300545
2015Q1,3.1,2.943327293,3.055110332,2.979052185,2.40486936,3.1,2.98531111,2.281798772,2.812130647,3.0765986,3.274285854,1.8516309,5.923358,2.3374922,9.928372,2.5005157,3.8785813
2015Q2,2.9,3.200993209,3.255244253,2.192145222,2.315986804,2.9,2.800292263,2.435758315,3.072480159,3.149928,3.274285854,2.1888328,6.031284,2.1078434,10.072122,2.4197247,3.780179
2015Q3,3.4,3.127374376,2.875259199,2.142404347,1.965251443,3.4,2.104759396,1.202994002,2.304416972,2.8492672,3.274285854,1.3756142,5.2121406,1.9348985,10.106227,3.352047,3.9777777
2015Q4,3.1,3.311421458,2.780189717,2.132051404,2.349961635,3.1,2.809179802,2.134641405,2.96241453,3.031114,3.274285854,1.1933898,4.860604,1.6099012,8.754855,1.2404428,2.276076
2016Q1,3.3,3.200993209,3.067901966,3.564677626,2.442169771,3.3,2.87798957,2.361833387,3.630126679,3.5495672,3.274285854,1.3338176,5.4021697,2.4824867,9.845241,2.9619973,3.8904815
2016Q2,3.8,3.274612042,3.092084053,2.936048264,2.421951734,3.8,2.939554372,3.420871333,3.330591168,3.6723561,3.274285854,2.3775082,5.7458763,2.2571692,8.897976,4.470468,4.998895
2016Q3,3.2,3.458659124,3.331041464,2.842483607,2.465052809,3.2,3.261683883,3.688980286,3.506231685,3.1168604,3.274285854,1.7660741,5.7074914,3.1491802,9.95504,3.4771953,3.9132195
2016Q4,3.4,3.237802625,3.105828814,3.753482205,3.060267651,3.4,3.641902509,4.147807698,3.775196886,4.135947,3.274285854,1.697209,5.6054783,2.8159347,9.867949,3.7937999,4.290314
2017Q1,3.8,3.311421458,3.49208622,5.216050445,2.715606739,3.8,3.526451898,4.08922001,3.565546907,3.2736626,3.274285854,2.664022,6.9744453,3.5187716,11.911219,4.7821236,5.138425
2017Q2,4.3,3.458659124,3.454078863,3.632324193,2.717480255,4.3,3.422423521,3.557952413,3.981517094,3.4592454,3.274285854,3.4954102,7.2964883,2.8903306,12.281638,3.351697,4.003954
2017Q3,4.5,3.642706207,3.774274856,4.181758799,3.020383036,4.5,3.629366423,3.094284249,4.148803419,3.953216,3.274285854,2.413392,6.9989815,3.1012995,10.528672,3.8690023,4.9477425
2017Q4,4.1,3.71632504,3.921955473,4.305336874,3.121719214,4.1,3.80896929,3.643038274,4.039551282,4.2582827,3.274285854,2.8487833,7.6437135,3.5075305,11.900153,4.365777,5.061358
2018Q1,5.1,3.569087374,3.903187219,5.276376649,3.25896186,5.1,4.182143603,4.510978078,4.742869353,4.120732,3.274285854,3.3950558,8.528223,3.5817242,12.659368,4.4443154,5.3486824
2018Q2,4.6,3.937181539,4.285530513,5.278550876,3.068330227,4.6,4.164939106,4.113726081,4.328110501,3.6858306,3.274285854,4.002373,8.985641,3.9010873,13.359777,4.062109,4.823018
2018Q3,3.2,3.753134457,4.124499965,4.346000957,3.454909128,3.2,4.038076077,4.07528944,3.324410867,3.7460663,3.274285854,3.8627017,9.365163,4.0463295,14.784478,2.9443235,4.4002438
2018Q4,3.9,3.237802625,3.883430698,3.767353575,2.610442638,3.9,3.815349495,4.395107089,3.911445869,3.2206755,3.274285854,3.3607183,9.440237,4.3917885,13.087487,5.623192,6.31361
2019Q1,2.6,3.495468541,3.682766324,4.54610029,2.988845942,2.6,3.652704957,3.445598979,3.008583639,3.1457193,3.274285854,3.1317434,9.309761,4.502486,12.90105,2.979663,4.137963
2019Q2,2.2,3.016946126,3.498051819,3.580077215,2.911440395,2.2,3.529891658,3.533616962,2.603363858,3.2770298,3.274285854,3.829774,8.783438,3.4864106,11.526276,4.2316113,4.778003
2019Q3,2.5,2.86970846,3.326588416,2.597921609,2.459895067,2.5,3.288196212,3.047983549,2.721236264,3.356038,3.274285854,3.304516,8.883152,3.7269118,10.464396,4.318818,4.7144084
