holiday,date,day
New Year’s Day,01-01-2010,Friday
Substitution for Makha Bucha Day (Sunday 28 February),01-03-2010,Monday
Chakri Day,06-04-2010,Tuesday
Songkran Festival,13-04-2010,Tuesday
Songkran Festival,14-04-2010,Wednesday
Songkran Festival,15-04-2010,Thursday
"Substitution for
National Labour Day
(Saturday 1 May)",03-05-2010,Monday
Coronation Day,05-05-2010,Wednesday
Special Holiday,20-05-2010,Thursday
Special Holiday,21-05-2010,Friday
Wisakha Bucha Day,28-05-2010,Friday
Mid Year Closing Day,01-07-2010,Thursday
Asarnha Bucha Day,26-07-2010,Monday
H.M. the Queen’s Birthday,12-08-2010,Thursday
"Substitution for
Chulalongkorn Day
(Saturday 23 October)",25-10-2010,Monday
Substitution for H.M.The King's Birthday,06-12-2010,Monday
Constitution Day,10-12-2010,Friday
New Year's Eve,31-12-2010,Friday
"Substitution for
New Year’s Day
(Saturday 1 January)",03-01-2011,Monday
Makha Bucha Day,18-02-2011,Friday
Chakri Day,06-04-2011,Wednesday
Songkran Festival,13-04-2011,Wednesday
Songkran Festival,14-04-2011,Thursday
Songkran Festival,15-04-2011,Friday
"Substitution for
National Labour Day
(Sunday 1 May)",02-05-2011,Monday
Coronation Day,05-05-2011,Thursday
Special Holiday,16-05-2011,Monday
Wisakha Bucha Day,17-05-2011,Tuesday
Mid Year Closing Day,01-07-2011,Friday
Asarnha Bucha Day,15-07-2011,Friday
H.M. the Queen’s Birthday,12-08-2011,Friday
"Substitution for
Chulalongkorn Day
(Sunday 23 October)",24-10-2011,Monday
H.M. the King’s Birthday,05-12-2011,Monday
"Substitution for
Constitution Day
(Saturday 10 December)",12-12-2011,Monday
Substitution for New Year's Day (Sunday 1 January),02-01-2012,Monday
Makha Bucha Day,07-03-2012,Wednesday
Chakri Day,06-04-2012,Friday
Songkran Festival,13-04-2012,Friday
Songkran Festival,16-04-2012,Monday
National Labour Day,01-05-2012,Tuesday
Substitution for Coronation Day (Saturday 5 May),07-05-2012,Monday
Wisakha Bucha Day,04-06-2012,Monday
Mid-Year Closing Day,02-07-2012,Monday
Asarnha Bucha Day,02-08-2012,Thursday
Substitution for H.M. the Queen's Birthday (Sunday 12 August),13-08-2012,Monday
Chulalongkorn Day,23-10-2012,Tuesday
H.M. the King's Birthday,05-12-2012,Wednesday
Constitution Day,10-12-2012,Monday
New Year's Eve,31-12-2012,Monday
New Year's Day,01-01-2013,Tuesday
Makha Bucha Day,25-02-2013,Monday
Substitution for Chakri Day (Saturday 6 April),08-04-2013,Monday
Songkran Festival,15-04-2013,Monday
"Substitution for Songkran Festival
(Saturday 13 April and Sunday 14 April)",16-04-2013,Tuesday
National Labour Day,01-05-2013,Wednesday
"Substitution for Coronation Day
(Sunday 5 May)",06-05-2013,Monday
Wisakha Bucha Day,24-05-2013,Friday
Mid-Year Closing Day,01-07-2013,Monday
Asarnha Bucha Day,22-07-2013,Monday
H.M. the Queen's Birthday,12-08-2013,Monday
Chulalongkorn Day,23-10-2013,Wednesday
H.M. the King's Birthday,05-12-2013,Thursday
Constitution Day,10-12-2013,Tuesday
New Year's Eve,31-12-2013,Tuesday
New Year’s Day,01-01-2014,Wednesday
Makha Bucha Day,14-02-2014,Friday
Substitution for Chakri Memorial Day (Sunday 6 April),07-04-2014,Monday
Songkran Festival,14-04-2014,Monday
Songkran Festival,15-04-2014,Tuesday
National Labour Day,01-05-2014,Thursday
Coronation Day,05-05-2014,Monday
Wisakha Bucha Day,13-05-2014,Tuesday
Mid-Year Closing Day,01-07-2014,Tuesday
Asarnha Bucha Day,11-07-2014,Friday
Special Holiday,11-08-2014,Monday
H.M. the Queen's Birthday,12-08-2014,Tuesday
Chulalongkorn Memorial Day,23-10-2014,Thursday
H.M. the King's Birthday,05-12-2014,Friday
Constitution Day,10-12-2014,Wednesday
New Year's Eve,31-12-2014,Wednesday
New Year's Day,01-01-2015,Thursday
Special Holiday,02-01-2015,Friday
Makha Bucha Day,04-03-2015,Wednesday
Chakri Day,06-04-2015,Monday
Songkran Festival,13-04-2015,Monday
Songkran Festival,14-04-2015,Tuesday
Songkran Festival,15-04-2015,Wednesday
National Labour Day,01-05-2015,Friday
Special Holiday,04-05-2015,Monday
Coronation Day,05-05-2015,Tuesday
Wisakha Bucha Day,01-06-2015,Monday
Mid Year Closing Day,01-07-2015,Wednesday
Asarnha Bucha Day,30-07-2015,Thursday
H.M. the Queen’s Birthday,12-08-2015,Wednesday
Chulalongkorn Day,23-10-2015,Friday
Substitution for H.M. the King’s Birthday (Saturday 5th December),07-12-2015,Monday
Constitution Day,10-12-2015,Thursday
New Year's Eve,31-12-2015,Thursday
New Year's Day,01-01-2016,Friday
Makha Bucha Day,22-02-2016,Monday
Chakri Day,06-04-2016,Wednesday
Songkran Festival,13-04-2016,Wednesday
Songkran Festival,14-04-2016,Thursday
Songkran Festival,15-04-2016,Friday
Substitution for National Labour Day (Sunday 1st May),02-05-2016,Monday
Coronation Day,05-05-2016,Thursday
Special Holiday,06-05-2016,Friday
Wisakha Bucha Day,20-05-2016,Friday
Mid Year Closing Day,01-07-2016,Friday
Special Holiday,18-07-2016,Monday
Asarnha Bucha Day,19-07-2016,Tuesday
H.M. the Queen’s Birthday,12-08-2016,Friday
Substitution for Chulalongkorn Day (Sunday 23rd Oct),24-10-2016,Monday
H.M. the King’s Birthday,05-12-2016,Monday
