series_code,series_name,date,value,data_type,lag_time,release_schedule_eng,release_date
PFCG000000M000651,Total Government Expenditure,2011-01-31,234081.0000000,Flow,1 Month,The last business day of the following month,2011-02-28
PFCG000000M000651,Total Government Expenditure,2011-02-28,153935.0000000,Flow,1 Month,The last business day of the following month,2011-03-31
PFCG000000M000651,Total Government Expenditure,2011-03-31,170670.0000000,Flow,1 Month,The last business day of the following month,2011-04-29
PFCG000000M000651,Total Government Expenditure,2011-04-30,133850.0000000,Flow,1 Month,The last business day of the following month,2011-05-31
PFCG000000M000651,Total Government Expenditure,2011-05-31,126770.0000000,Flow,1 Month,The last business day of the following month,2011-06-30
PFCG000000M000651,Total Government Expenditure,2011-06-30,149976.0000000,Flow,1 Month,The last business day of the following month,2011-07-29
PFCG000000M000651,Total Government Expenditure,2011-07-31,142119.0000000,Flow,1 Month,The last business day of the following month,2011-08-31
PFCG000000M000651,Total Government Expenditure,2011-08-31,139965.0000000,Flow,1 Month,The last business day of the following month,2011-09-30
PFCG000000M000651,Total Government Expenditure,2011-09-30,188850.0000000,Flow,1 Month,The last business day of the following month,2011-10-31
PFCG000000M000651,Total Government Expenditure,2011-10-31,166509.0000000,Flow,1 Month,The last business day of the following month,2011-11-30
PFCG000000M000651,Total Government Expenditure,2011-11-30,150234.0000000,Flow,1 Month,The last business day of the following month,2011-12-30
PFCG000000M000651,Total Government Expenditure,2011-12-31,172607.0000000,Flow,1 Month,The last business day of the following month,2012-01-31
PFCG000000M000651,Total Government Expenditure,2012-01-31,150325.0000000,Flow,1 Month,The last business day of the following month,2012-02-29
PFCG000000M000651,Total Government Expenditure,2012-02-29,258126.0000000,Flow,1 Month,The last business day of the following month,2012-03-30
PFCG000000M000651,Total Government Expenditure,2012-03-31,316046.0000000,Flow,1 Month,The last business day of the following month,2012-04-30
PFCG000000M000651,Total Government Expenditure,2012-04-30,157170.0000000,Flow,1 Month,The last business day of the following month,2012-05-31
PFCG000000M000651,Total Government Expenditure,2012-05-31,144922.0000000,Flow,1 Month,The last business day of the following month,2012-06-29
PFCG000000M000651,Total Government Expenditure,2012-06-30,157354.0000000,Flow,1 Month,The last business day of the following month,2012-07-31
PFCG000000M000651,Total Government Expenditure,2012-07-31,178523.0000000,Flow,1 Month,The last business day of the following month,2012-08-31
PFCG000000M000651,Total Government Expenditure,2012-08-31,152450.0000000,Flow,1 Month,The last business day of the following month,2012-09-28
PFCG000000M000651,Total Government Expenditure,2012-09-30,207110.0000000,Flow,1 Month,The last business day of the following month,2012-10-31
PFCG000000M000651,Total Government Expenditure,2012-10-31,296322.0000000,Flow,1 Month,The last business day of the following month,2012-11-30
PFCG000000M000651,Total Government Expenditure,2012-11-30,296867.0000000,Flow,1 Month,The last business day of the following month,2012-12-28
PFCG000000M000651,Total Government Expenditure,2012-12-31,173933.0000000,Flow,1 Month,The last business day of the following month,2013-01-31
PFCG000000M000651,Total Government Expenditure,2013-01-31,208021.0000000,Flow,1 Month,The last business day of the following month,2013-02-28
PFCG000000M000651,Total Government Expenditure,2013-02-28,150379.0000000,Flow,1 Month,The last business day of the following month,2013-03-29
PFCG000000M000651,Total Government Expenditure,2013-03-31,225477.0000000,Flow,1 Month,The last business day of the following month,2013-04-30
PFCG000000M000651,Total Government Expenditure,2013-04-30,185269.0000000,Flow,1 Month,The last business day of the following month,2013-05-31
PFCG000000M000651,Total Government Expenditure,2013-05-31,137855.0000000,Flow,1 Month,The last business day of the following month,2013-06-28
PFCG000000M000651,Total Government Expenditure,2013-06-30,169370.0000000,Flow,1 Month,The last business day of the following month,2013-07-31
PFCG000000M000651,Total Government Expenditure,2013-07-31,167707.0000000,Flow,1 Month,The last business day of the following month,2013-08-30
PFCG000000M000651,Total Government Expenditure,2013-08-31,148235.0000000,Flow,1 Month,The last business day of the following month,2013-09-30
PFCG000000M000651,Total Government Expenditure,2013-09-30,215684.0000000,Flow,1 Month,The last business day of the following month,2013-10-31
PFCG000000M000651,Total Government Expenditure,2013-10-31,257538.0000000,Flow,1 Month,The last business day of the following month,2013-11-29
PFCG000000M000651,Total Government Expenditure,2013-11-30,241993.0000000,Flow,1 Month,The last business day of the following month,2013-12-30
PFCG000000M000651,Total Government Expenditure,2013-12-31,317256.0000000,Flow,1 Month,The last business day of the following month,2014-01-31
PFCG000000M000651,Total Government Expenditure,2014-01-31,210813.0000000,Flow,1 Month,The last business day of the following month,2014-02-28
PFCG000000M000651,Total Government Expenditure,2014-02-28,196085.0000000,Flow,1 Month,The last business day of the following month,2014-03-31
PFCG000000M000651,Total Government Expenditure,2014-03-31,166322.0000000,Flow,1 Month,The last business day of the following month,2014-04-30
PFCG000000M000651,Total Government Expenditure,2014-04-30,187474.0000000,Flow,1 Month,The last business day of the following month,2014-05-30
PFCG000000M000651,Total Government Expenditure,2014-05-31,145672.0000000,Flow,1 Month,The last business day of the following month,2014-06-30
PFCG000000M000651,Total Government Expenditure,2014-06-30,164825.0000000,Flow,1 Month,The last business day of the following month,2014-07-31
PFCG000000M000651,Total Government Expenditure,2014-07-31,184088.0000000,Flow,1 Month,The last business day of the following month,2014-08-29
PFCG000000M000651,Total Government Expenditure,2014-08-31,133331.0000000,Flow,1 Month,The last business day of the following month,2014-09-30
PFCG000000M000651,Total Government Expenditure,2014-09-30,215641.0000000,Flow,1 Month,The last business day of the following month,2014-10-31
PFCG000000M000651,Total Government Expenditure,2014-10-31,324952.0000000,Flow,1 Month,The last business day of the following month,2014-11-28
PFCG000000M000651,Total Government Expenditure,2014-11-30,195508.0000000,Flow,1 Month,The last business day of the following month,2014-12-30
PFCG000000M000651,Total Government Expenditure,2014-12-31,270830.0000000,Flow,1 Month,The last business day of the following month,2015-01-30
PFCG000000M000651,Total Government Expenditure,2015-01-31,212060.0000000,Flow,1 Month,The last business day of the following month,2015-02-27
PFCG000000M000651,Total Government Expenditure,2015-02-28,140342.0000000,Flow,1 Month,The last business day of the following month,2015-03-31
PFCG000000M000651,Total Government Expenditure,2015-03-31,246782.0000000,Flow,1 Month,The last business day of the following month,2015-04-30
PFCG000000M000651,Total Government Expenditure,2015-04-30,185653.0000000,Flow,1 Month,The last business day of the following month,2015-05-29
PFCG000000M000651,Total Government Expenditure,2015-05-31,153084.0000000,Flow,1 Month,The last business day of the following month,2015-06-30
PFCG000000M000651,Total Government Expenditure,2015-06-30,198842.0000000,Flow,1 Month,The last business day of the following month,2015-07-31
PFCG000000M000651,Total Government Expenditure,2015-07-31,209998.0000000,Flow,1 Month,The last business day of the following month,2015-08-31
