series_code,series_name,date,value
EIBSIM00060,Business Sentiment Index of Investment,2011-01-31,56.9
EIBSIM00060,Business Sentiment Index of Investment,2011-02-28,57.2
EIBSIM00060,Business Sentiment Index of Investment,2011-03-31,58.4
EIBSIM00060,Business Sentiment Index of Investment,2011-04-30,56.6
EIBSIM00060,Business Sentiment Index of Investment,2011-05-31,57.3
EIBSIM00060,Business Sentiment Index of Investment,2011-06-30,57.4
EIBSIM00060,Business Sentiment Index of Investment,2011-07-31,56.8
EIBSIM00060,Business Sentiment Index of Investment,2011-08-31,57.1
EIBSIM00060,Business Sentiment Index of Investment,2011-09-30,54.7
EIBSIM00060,Business Sentiment Index of Investment,2011-10-31,48.4
EIBSIM00060,Business Sentiment Index of Investment,2011-11-30,50.1
EIBSIM00060,Business Sentiment Index of Investment,2011-12-31,54.2
EIBSIM00060,Business Sentiment Index of Investment,2012-01-31,54.8
EIBSIM00060,Business Sentiment Index of Investment,2012-02-29,56.8
EIBSIM00060,Business Sentiment Index of Investment,2012-03-31,58.3
EIBSIM00060,Business Sentiment Index of Investment,2012-04-30,58.1
EIBSIM00060,Business Sentiment Index of Investment,2012-05-31,56.8
EIBSIM00060,Business Sentiment Index of Investment,2012-06-30,57.6
EIBSIM00060,Business Sentiment Index of Investment,2012-07-31,57.9
EIBSIM00060,Business Sentiment Index of Investment,2012-08-31,57.3
EIBSIM00060,Business Sentiment Index of Investment,2012-09-30,56.4
EIBSIM00060,Business Sentiment Index of Investment,2012-10-31,56.1
EIBSIM00060,Business Sentiment Index of Investment,2012-11-30,58.3
EIBSIM00060,Business Sentiment Index of Investment,2012-12-31,57.5
EIBSIM00060,Business Sentiment Index of Investment,2013-01-31,56.7
EIBSIM00060,Business Sentiment Index of Investment,2013-02-28,56.1
EIBSIM00060,Business Sentiment Index of Investment,2013-03-31,59.2
EIBSIM00060,Business Sentiment Index of Investment,2013-04-30,56.5
EIBSIM00060,Business Sentiment Index of Investment,2013-05-31,57.9
EIBSIM00060,Business Sentiment Index of Investment,2013-06-30,55.9
EIBSIM00060,Business Sentiment Index of Investment,2013-07-31,56.2
EIBSIM00060,Business Sentiment Index of Investment,2013-08-31,54.4
EIBSIM00060,Business Sentiment Index of Investment,2013-09-30,55.1
EIBSIM00060,Business Sentiment Index of Investment,2013-10-31,54.7
EIBSIM00060,Business Sentiment Index of Investment,2013-11-30,52.8
