series_code,series_name,quarter,value
PFCG000000M000651,Total Government Expenditure,2011Q1,559102.174730431
PFCG000000M000651,Total Government Expenditure,2011Q2,528789.77692122
PFCG000000M000651,Total Government Expenditure,2011Q3,533218.39883765
PFCG000000M000651,Total Government Expenditure,2011Q4,363429.704380108
PFCG000000M000651,Total Government Expenditure,2012Q1,770159.035676617
PFCG000000M000651,Total Government Expenditure,2012Q2,588316.950265588
PFCG000000M000651,Total Government Expenditure,2012Q3,610009.784982732
PFCG000000M000651,Total Government Expenditure,2012Q4,578721.4650866541
PFCG000000M000651,Total Government Expenditure,2013Q1,603433.914344643
PFCG000000M000651,Total Government Expenditure,2013Q2,614037.1839706129
PFCG000000M000651,Total Government Expenditure,2013Q3,604329.894584245
PFCG000000M000651,Total Government Expenditure,2013Q4,609147.401357214
PFCG000000M000651,Total Government Expenditure,2014Q1,624498.0666336131
PFCG000000M000651,Total Government Expenditure,2014Q2,607537.3337058381
PFCG000000M000651,Total Government Expenditure,2014Q3,608140.312527037
PFCG000000M000651,Total Government Expenditure,2014Q4,582289.19226292
PFCG000000M000651,Total Government Expenditure,2015Q1,630506.912569607
PFCG000000M000651,Total Government Expenditure,2015Q2,637145.0849348
PFCG000000M000651,Total Government Expenditure,2015Q3,643272.234847317
PFCG000000M000651,Total Government Expenditure,2015Q4,638345.405145805
PFCG000000M000651,Total Government Expenditure,2016Q1,691220.711389971
PFCG000000M000651,Total Government Expenditure,2016Q2,726126.103124204
PFCG000000M000651,Total Government Expenditure,2016Q3,644525.000688572
PFCG000000M000651,Total Government Expenditure,2016Q4,665027.787760827
PFCG000000M000651,Total Government Expenditure,2017Q1,685785.992906684
PFCG000000M000651,Total Government Expenditure,2017Q2,715030.972511475
PFCG000000M000651,Total Government Expenditure,2017Q3,698036.013737052
PFCG000000M000651,Total Government Expenditure,2017Q4,702406.321535825
PFCG000000M000651,Total Government Expenditure,2018Q1,653045.550993179
PFCG000000M000651,Total Government Expenditure,2018Q2,796353.275899826
PFCG000000M000651,Total Government Expenditure,2018Q3,712903.764394316
PFCG000000M000651,Total Government Expenditure,2018Q4,702230.876516665
PFCG000000M000651,Total Government Expenditure,2019Q1,767531.5015135601
PFCG000000M000651,Total Government Expenditure,2019Q2,696048.209963117
PFCG000000M000651,Total Government Expenditure,2019Q3,763384.009746314
PFCG000000M000651,Total Government Expenditure,2019Q4,666295.825656165
EIBSIM00060,Business Sentiment Index of Investment,2011Q1,57.209254769888936
EIBSIM00060,Business Sentiment Index of Investment,2011Q2,56.875895614505765
EIBSIM00060,Business Sentiment Index of Investment,2011Q3,56.408295449256535
EIBSIM00060,Business Sentiment Index of Investment,2011Q4,51.18520943120924
EIBSIM00060,Business Sentiment Index of Investment,2012Q1,56.3869951849615
EIBSIM00060,Business Sentiment Index of Investment,2012Q2,57.2680408484865
EIBSIM00060,Business Sentiment Index of Investment,2012Q3,57.384947256587765
EIBSIM00060,Business Sentiment Index of Investment,2012Q4,57.55968089743457
EIBSIM00060,Business Sentiment Index of Investment,2013Q1,57.1596821393859
EIBSIM00060,Business Sentiment Index of Investment,2013Q2,56.5328300274368
EIBSIM00060,Business Sentiment Index of Investment,2013Q3,55.375774174643304
EIBSIM00060,Business Sentiment Index of Investment,2013Q4,54.01572855337917
EIBSIM00060,Business Sentiment Index of Investment,2014Q1,52.03184105224153
EIBSIM00060,Business Sentiment Index of Investment,2014Q2,51.67852635368427
EIBSIM00060,Business Sentiment Index of Investment,2014Q3,53.7001999445802
EIBSIM00060,Business Sentiment Index of Investment,2014Q4,53.68195594740734
EIBSIM00060,Business Sentiment Index of Investment,2015Q1,53.88964368904624
EIBSIM00060,Business Sentiment Index of Investment,2015Q2,54.12132573202293
EIBSIM00060,Business Sentiment Index of Investment,2015Q3,52.3013840006598
EIBSIM00060,Business Sentiment Index of Investment,2015Q4,53.65650684282773
EIBSIM00060,Business Sentiment Index of Investment,2016Q1,54.00539447014003
EIBSIM00060,Business Sentiment Index of Investment,2016Q2,55.598999102934236
EIBSIM00060,Business Sentiment Index of Investment,2016Q3,55.9945494269117
EIBSIM00060,Business Sentiment Index of Investment,2016Q4,56.7027643973562
EIBSIM00060,Business Sentiment Index of Investment,2017Q1,56.5614831009842
EIBSIM00060,Business Sentiment Index of Investment,2017Q2,55.80412348757796
EIBSIM00060,Business Sentiment Index of Investment,2017Q3,55.08805294309909
EIBSIM00060,Business Sentiment Index of Investment,2017Q4,55.981050028644866
EIBSIM00060,Business Sentiment Index of Investment,2018Q1,57.172135480851836
EIBSIM00060,Business Sentiment Index of Investment,2018Q2,56.63706612387727
EIBSIM00060,Business Sentiment Index of Investment,2018Q3,56.551080048924725
EIBSIM00060,Business Sentiment Index of Investment,2018Q4,57.10538782754717
EIBSIM00060,Business Sentiment Index of Investment,2019Q1,55.58286820696123
EIBSIM00060,Business Sentiment Index of Investment,2019Q2,55.784089609816306
EIBSIM00060,Business Sentiment Index of Investment,2019Q3,55.005692684150034
EIBSIM00060,Business Sentiment Index of Investment,2019Q4,54.5840467777123
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2011Q1,52.21216114780174
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2011Q2,51.4273157011408
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2011Q3,52.27094523333417
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2011Q4,42.2467036182191
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2012Q1,49.8663303807058
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2012Q2,49.02269473561253
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2012Q3,47.9875972538267
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2012Q4,48.053061001606004
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2013Q1,48.92934163919937
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2013Q2,47.908872214181294
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2013Q3,46.582902138592864
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2013Q4,47.752977353545
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2014Q1,48.83006726035853
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2014Q2,49.362802875115904
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2014Q3,51.68346502967546
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2014Q4,49.78657987416897
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2015Q1,49.117814141301636
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2015Q2,47.66967538321703
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2015Q3,44.0627160795265
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2015Q4,49.02102577146817
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2016Q1,45.09587904663213
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2016Q2,49.18554361288407
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2016Q3,47.11493241092156
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2016Q4,48.83546162550713
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2017Q1,48.682063566468535
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2017Q2,49.2593013939125
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2017Q3,51.069676982442
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2017Q4,50.63958091089199
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2018Q1,49.067264739715235
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2018Q2,49.88009197409446
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2018Q3,49.196919016208106
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2018Q4,47.045703173252235
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2019Q1,46.085658754316036
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2019Q2,46.59051400041383
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2019Q3,44.36877348299887
EIBSIOTHM00445,Other Business Sentiment Indices Export conditions,2019Q4,39.9460202071382
EICEIM00002,Import Volume Index (exclude Gold),2011Q1,91.69766213013217
EICEIM00002,Import Volume Index (exclude Gold),2011Q2,91.99353549540064
EICEIM00002,Import Volume Index (exclude Gold),2011Q3,96.4317200022386
EICEIM00002,Import Volume Index (exclude Gold),2011Q4,86.20914736605253
EICEIM00002,Import Volume Index (exclude Gold),2012Q1,94.98823362608027
EICEIM00002,Import Volume Index (exclude Gold),2012Q2,100.45048445708858
EICEIM00002,Import Volume Index (exclude Gold),2012Q3,101.94130535381886
EICEIM00002,Import Volume Index (exclude Gold),2012Q4,102.66236230597367
EICEIM00002,Import Volume Index (exclude Gold),2013Q1,102.8848436795616
EICEIM00002,Import Volume Index (exclude Gold),2013Q2,104.62953274764233
EICEIM00002,Import Volume Index (exclude Gold),2013Q3,96.91964082015704
EICEIM00002,Import Volume Index (exclude Gold),2013Q4,97.85713873853399
EICEIM00002,Import Volume Index (exclude Gold),2014Q1,95.9826054831322
EICEIM00002,Import Volume Index (exclude Gold),2014Q2,94.4709251555462
EICEIM00002,Import Volume Index (exclude Gold),2014Q3,97.43023494252702
EICEIM00002,Import Volume Index (exclude Gold),2014Q4,97.68397192413825
EICEIM00002,Import Volume Index (exclude Gold),2015Q1,98.31426584842484
EICEIM00002,Import Volume Index (exclude Gold),2015Q2,94.81301223723715
EICEIM00002,Import Volume Index (exclude Gold),2015Q3,94.62922089358416
EICEIM00002,Import Volume Index (exclude Gold),2015Q4,93.31482807400994
EICEIM00002,Import Volume Index (exclude Gold),2016Q1,91.8315614822475
EICEIM00002,Import Volume Index (exclude Gold),2016Q2,92.20248725314913
EICEIM00002,Import Volume Index (exclude Gold),2016Q3,94.59007455038955
EICEIM00002,Import Volume Index (exclude Gold),2016Q4,96.43452830030412
EICEIM00002,Import Volume Index (exclude Gold),2017Q1,95.7142446480322
EICEIM00002,Import Volume Index (exclude Gold),2017Q2,97.874488725359
EICEIM00002,Import Volume Index (exclude Gold),2017Q3,99.9011075488642
EICEIM00002,Import Volume Index (exclude Gold),2017Q4,102.35658465387907
EICEIM00002,Import Volume Index (exclude Gold),2018Q1,104.818031647743
EICEIM00002,Import Volume Index (exclude Gold),2018Q2,106.91859934866933
EICEIM00002,Import Volume Index (exclude Gold),2018Q3,106.73217663677967
EICEIM00002,Import Volume Index (exclude Gold),2018Q4,108.057569328471
EICEIM00002,Import Volume Index (exclude Gold),2019Q1,105.15866013636101
EICEIM00002,Import Volume Index (exclude Gold),2019Q2,102.56694485169022
EICEIM00002,Import Volume Index (exclude Gold),2019Q3,102.64361346892633
EICEIM00002,Import Volume Index (exclude Gold),2019Q4,98.9204052377713
EIEXTHBM00152,Export Value Index (THB),2011Q1,4.787388825585197
EIEXTHBM00152,Export Value Index (THB),2011Q2,-0.2878504379697991
EIEXTHBM00152,Export Value Index (THB),2011Q3,0.5463346703754676
EIEXTHBM00152,Export Value Index (THB),2011Q4,-4.259882005709069
EIEXTHBM00152,Export Value Index (THB),2012Q1,2.694728498394767
EIEXTHBM00152,Export Value Index (THB),2012Q2,1.4785866371909673
EIEXTHBM00152,Export Value Index (THB),2012Q3,0.3898486605726674
EIEXTHBM00152,Export Value Index (THB),2012Q4,-1.5642746435712003
EIEXTHBM00152,Export Value Index (THB),2013Q1,-0.3231048736193003
EIEXTHBM00152,Export Value Index (THB),2013Q2,-0.44531475039973145
EIEXTHBM00152,Export Value Index (THB),2013Q3,0.9504488456012012
EIEXTHBM00152,Export Value Index (THB),2013Q4,1.7906106374936996
EIEXTHBM00152,Export Value Index (THB),2014Q1,-0.1515461720803349
EIEXTHBM00152,Export Value Index (THB),2014Q2,0.4087522776370018
EIEXTHBM00152,Export Value Index (THB),2014Q3,-1.0230193539113326
EIEXTHBM00152,Export Value Index (THB),2014Q4,1.7391554687786623
EIEXTHBM00152,Export Value Index (THB),2015Q1,-2.4225300028877306
EIEXTHBM00152,Export Value Index (THB),2015Q2,-0.24821463210080216
EIEXTHBM00152,Export Value Index (THB),2015Q3,2.815718778492202
EIEXTHBM00152,Export Value Index (THB),2015Q4,-0.576089314823335
EIEXTHBM00152,Export Value Index (THB),2016Q1,0.467896992285669
EIEXTHBM00152,Export Value Index (THB),2016Q2,0.06417948816233358
EIEXTHBM00152,Export Value Index (THB),2016Q3,-0.11292966104333384
EIEXTHBM00152,Export Value Index (THB),2016Q4,1.6241797378056664
EIEXTHBM00152,Export Value Index (THB),2017Q1,2.053822312992665
EIEXTHBM00152,Export Value Index (THB),2017Q2,-2.504505030377331
EIEXTHBM00152,Export Value Index (THB),2017Q3,1.9989239855256642
EIEXTHBM00152,Export Value Index (THB),2017Q4,-1.6274564707613308
EIEXTHBM00152,Export Value Index (THB),2018Q1,0.694076228057663
EIEXTHBM00152,Export Value Index (THB),2018Q2,1.0345101575276676
EIEXTHBM00152,Export Value Index (THB),2018Q3,-2.4483320037196656
EIEXTHBM00152,Export Value Index (THB),2018Q4,0.5869498589626687
EIEXTHBM00152,Export Value Index (THB),2019Q1,-0.3143842488233351
EIEXTHBM00152,Export Value Index (THB),2019Q2,-0.30782249093233344
EIEXTHBM00152,Export Value Index (THB),2019Q3,-2.847483988919
EIEXTHBM00152,Export Value Index (THB),2019Q4,5.304715071252005
EIIMTHBM00155,Import Value Index (THB),2011Q1,2.8453681390155006
EIIMTHBM00155,Import Value Index (THB),2011Q2,-0.06431914030476567
EIIMTHBM00155,Import Value Index (THB),2011Q3,3.3028123443417647
EIIMTHBM00155,Import Value Index (THB),2011Q4,-0.9019341845310341
EIIMTHBM00155,Import Value Index (THB),2012Q1,5.678609977469033
EIIMTHBM00155,Import Value Index (THB),2012Q2,-4.859422283447998
EIIMTHBM00155,Import Value Index (THB),2012Q3,-1.3073918953776342
EIIMTHBM00155,Import Value Index (THB),2012Q4,0.812063353781601
EIIMTHBM00155,Import Value Index (THB),2013Q1,-0.2824649870312328
EIIMTHBM00155,Import Value Index (THB),2013Q2,0.19678883712373363
EIIMTHBM00155,Import Value Index (THB),2013Q3,-1.6506992347066358
EIIMTHBM00155,Import Value Index (THB),2013Q4,0.5462393676978697
EIIMTHBM00155,Import Value Index (THB),2014Q1,-0.29030755055683716
EIIMTHBM00155,Import Value Index (THB),2014Q2,-1.5909353123511636
EIIMTHBM00155,Import Value Index (THB),2014Q3,5.243276222417634
EIIMTHBM00155,Import Value Index (THB),2014Q4,-5.4345285503955365
EIIMTHBM00155,Import Value Index (THB),2015Q1,0.28977042718826834
EIIMTHBM00155,Import Value Index (THB),2015Q2,1.427736264090034
EIIMTHBM00155,Import Value Index (THB),2015Q3,-0.021989798063235828
EIIMTHBM00155,Import Value Index (THB),2015Q4,-1.707077954190865
EIIMTHBM00155,Import Value Index (THB),2016Q1,-0.18887767513243622
EIIMTHBM00155,Import Value Index (THB),2016Q2,0.302698265703403
EIIMTHBM00155,Import Value Index (THB),2016Q3,0.869760078754131
EIIMTHBM00155,Import Value Index (THB),2016Q4,1.551950305016869
EIIMTHBM00155,Import Value Index (THB),2017Q1,2.649618527692032
EIIMTHBM00155,Import Value Index (THB),2017Q2,-2.589733257077332
EIIMTHBM00155,Import Value Index (THB),2017Q3,-1.0523086182803354
EIIMTHBM00155,Import Value Index (THB),2017Q4,2.429115755432335
EIIMTHBM00155,Import Value Index (THB),2018Q1,0.5229303828213338
EIIMTHBM00155,Import Value Index (THB),2018Q2,0.5291135099609979
EIIMTHBM00155,Import Value Index (THB),2018Q3,0.3077845055970035
EIIMTHBM00155,Import Value Index (THB),2018Q4,-3.8880895765614696
EIIMTHBM00155,Import Value Index (THB),2019Q1,1.5807426832778333
EIIMTHBM00155,Import Value Index (THB),2019Q2,-2.536124355568101
EIIMTHBM00155,Import Value Index (THB),2019Q3,1.1375470130945662
EIIMTHBM00155,Import Value Index (THB),2019Q4,-2.0810413159008903
EILEIM00011,Export Volume Index (exclude Gold),2011Q1,99.18070312511894
EILEIM00011,Export Volume Index (exclude Gold),2011Q2,100.52541716073527
EILEIM00011,Export Volume Index (exclude Gold),2011Q3,105.39879001592067
EILEIM00011,Export Volume Index (exclude Gold),2011Q4,89.98448064870506
EILEIM00011,Export Volume Index (exclude Gold),2012Q1,95.94286376958117
EILEIM00011,Export Volume Index (exclude Gold),2012Q2,102.95685337796
EILEIM00011,Export Volume Index (exclude Gold),2012Q3,99.56056690712042
EILEIM00011,Export Volume Index (exclude Gold),2012Q4,101.50574507948666
EILEIM00011,Export Volume Index (exclude Gold),2013Q1,103.64312572280566
EILEIM00011,Export Volume Index (exclude Gold),2013Q2,101.88544376366467
EILEIM00011,Export Volume Index (exclude Gold),2013Q3,100.6715138968756
EILEIM00011,Export Volume Index (exclude Gold),2013Q4,100.6878234711026
EILEIM00011,Export Volume Index (exclude Gold),2014Q1,102.02219546431
EILEIM00011,Export Volume Index (exclude Gold),2014Q2,102.85927855292867
EILEIM00011,Export Volume Index (exclude Gold),2014Q3,102.357026776427
EILEIM00011,Export Volume Index (exclude Gold),2014Q4,104.21101047409532
EILEIM00011,Export Volume Index (exclude Gold),2015Q1,102.19355680308166
EILEIM00011,Export Volume Index (exclude Gold),2015Q2,100.71189065544543
